Time,Day of Week,Sound,Vol,Method,Doing,Source
12:00:00 AM,Monday,,,,,
12:15:00 AM,Monday,,,,,
12:30:00 AM,Monday,,,,,
12:45:00 AM,Monday,,,,,
1:00:00 AM,Monday,,,,,
1:15:00 AM,Monday,,,,,
1:30:00 AM,Monday,,,,,
1:45:00 AM,Monday,,,,,
2:00:00 AM,Monday,,,,,
2:15:00 AM,Monday,,,,,
2:30:00 AM,Monday,,,,,
2:45:00 AM,Monday,,,,,
3:00:00 AM,Monday,,,,,
3:15:00 AM,Monday,,,,,
3:30:00 AM,Monday,,,,,
3:45:00 AM,Monday,,,,,
4:00:00 AM,Monday,,,,,
4:15:00 AM,Monday,,,,,
4:30:00 AM,Monday,,,,,
4:45:00 AM,Monday,,,,,
5:00:00 AM,Monday,,,,,
5:15:00 AM,Monday,,,,,
5:30:00 AM,Monday,,,,,
5:45:00 AM,Monday,,,,,
6:00:00 AM,Monday,,,,,
6:15:00 AM,Monday,,,,,
6:30:00 AM,Monday,,,,,
6:45:00 AM,Monday,,,,,
7:00:00 AM,Monday,,,,,
7:15:00 AM,Monday,,,,,
7:30:00 AM,Monday,,,,,
7:45:00 AM,Monday,,,,,
8:00:00 AM,Monday,,,,,
8:15:00 AM,Monday,Youtube,3,Out loud,Watching,https://www.youtube.com/watch?v=HzcloG9x1Dc&list=WL&index=1
8:30:00 AM,Monday,Youtube,3,Out loud,Watching,https://www.youtube.com/watch?v=HzcloG9x1Dc&list=WL&index=2
8:45:00 AM,Monday,,,,,
9:00:00 AM,Monday,Music,7,Speaker,Exercise,https://open.Music.com/playlist/41nlHqhbbhAb3pwT9jLH2s?si=c8219b46392440d0
9:15:00 AM,Monday,Music,7,Speaker,Exercise,https://open.Music.com/playlist/41nlHqhbbhAb3pwT9jLH2s?si=c8219b46392440d1
9:30:00 AM,Monday,Music,1,Speaker,Exercise,https://open.Music.com/playlist/41nlHqhbbhAb3pwT9jLH2s?si=c8219b46392440d2
9:45:00 AM,Monday,Music,1,Speaker,Exercise,https://open.Music.com/playlist/41nlHqhbbhAb3pwT9jLH2s?si=c8219b46392440d3
10:00:00 AM,Monday,Music,1,Speaker,Exercise,https://open.Music.com/playlist/41nlHqhbbhAb3pwT9jLH2s?si=c8219b46392440d4
10:15:00 AM,Monday,Music,1,Speaker,Exercise,https://open.Music.com/playlist/41nlHqhbbhAb3pwT9jLH2s?si=c8219b46392440d5
10:30:00 AM,Monday,Music,7,Speaker,Exercise,https://open.Music.com/playlist/41nlHqhbbhAb3pwT9jLH2s?si=c8219b46392440d6
10:45:00 AM,Monday,,,,,
11:00:00 AM,Monday,,,,,
11:15:00 AM,Monday,,,,,
11:30:00 AM,Monday,,,,,
11:45:00 AM,Monday,Youtube,5,Out loud,Knitting,https://www.youtube.com/c/NEVERTOOSMALL
12:00:00 PM,Monday,Youtube,5,Out loud,Knitting,https://www.youtube.com/c/NEVERTOOSMALL
12:15:00 PM,Monday,,,,,
12:30:00 PM,Monday,,,,,
12:45:00 PM,Monday,,,,,
1:00:00 PM,Monday,Music,4,Out loud,Working,https://open.spotify.com/playlist/6qWS1aHQP6hdCXClWkUZLH?si=bee52ff895f94f2b
1:15:00 PM,Monday,Music,4,Out loud,Working,https://open.spotify.com/playlist/6qWS1aHQP6hdCXClWkUZLH?si=bee52ff895f94f2b
1:30:00 PM,Monday,Music,4,Out loud,Working,https://open.spotify.com/playlist/6qWS1aHQP6hdCXClWkUZLH?si=bee52ff895f94f2b
