Day,Day_abbr,Start,Stop,Vol,Medium,Method,Doing,Source
Monday,Mon,08:15,08:30,3,Youtube,Outloud,Watching,https://www.youtube.com/watch?v=HzcloG9x1Dc&list=WL&index=2
Monday,Mon,09:00,10:30,10,Music,Speaker,Exercise,https://open.music.com/playlist/41nlHqhbbhAb3pwT9jLH2s?si=c8219b46392440d1
Monday,Mon,11:45,12:00,5,Youtube,Outloud,Knitting,https://www.youtube.com/c/NEVERTOOSMALL
Monday,Mon,13:00,16:00,2,Music,Outloud,Working,https://open.spotify.com/playlist/6qWS1aHQP6hdCXClWkUZLH?si=bee52ff895f94f2b
Monday,Mon,23:45,23:59,4,Podcast,Outloud,Sleeping,https://open.spotify.com/show/3IM0lmZxpFAY7CwMuv9H4g?si=e93f3ddc77874019
Tuesday,Tues,00:00,00:45,4,Podcast,Outloud,Sleeping,https://open.spotify.com/show/3IM0lmZxpFAY7CwMuv9H4g?si=e93f3ddc77874019
Tuesday,Tues,08:45,10:15,10,Music,Speaker,Exercise,https://open.music.com/playlist/41nlHqhbbhAb3pwT9jLH2s?si=c8219b46392440d1
Tuesday,Tues,10:45,11:00,8,Music,Speaker,Driving,https://open.spotify.com/playlist/2MZ7iOGohaiNrSQh1sPmkW?si=6470708611484a41
Tuesday,Tues,12:00,12:15,8,Music,Speaker,Driving,https://open.spotify.com/playlist/2MZ7iOGohaiNrSQh1sPmkW?si=6470708611484a42
Tuesday,Tues,14:00,15:45,3,Music,Earphones,Working,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr?si=PXa5lAXXTlaL0kUk_kYTpQ
Tuesday,Tues,15:46,16:15,6,Youtube,Earphones,Watching,https://www.youtube.com/c/Vogue
Tuesday,Tues,16:16,17:00,3,Youtube,Earphones,Watching,https://www.youtube.com/c/Vogue
Wednesday,Wed,09:45,11:30,10,Music,Speaker,Exercise,https://open.music.com/playlist/41nlHqhbbhAb3pwT9jLH2s?si=c8219b46392440d4
Wednesday,Wed,13:45,15:15,7,TV/Film,Outloud,Watching,https://www.youtube.com/watch?v=y-cqqAJIXhs
Wednesday,Wed,20:45,21:15,7,TV/Film,Outloud,Knitting,https://www.youtube.com/watch?v=y-cqqAJIXhs
Thursday,Thur,08:30,08:45,9,Music,Speaker,Driving,https://open.spotify.com/playlist/7I0I8oe55z1gRC91VVOWBU?si=9aa541e812f44f30
Thursday,Thur,09:30,09:45,6,Music,Speaker,Driving,https://open.spotify.com/playlist/7I0I8oe55z1gRC91VVOWBU?si=9aa541e812f44f30
Thursday,Thur,10:00,11:15,10,Music,Speaker,Exercise,https://open.spotify.com/playlist/7I0I8oe55z1gRC91VVOWBU?si=9aa541e812f44f30
Thursday,Thur,18:15,19:00,3,Music,Outloud,Working,https://open.spotify.com/playlist/6Ypc5cgntIGW5vZ5w8iAzx?si=dd91a147ac434e77
Thursday,Thur,19:30,20:00,3,Music,Outloud,Working,https://open.spotify.com/playlist/6Ypc5cgntIGW5vZ5w8iAzx?si=dd91a147ac434e77
Thursday,Thur,20:01,22:00,5,TV/Film,Outloud,Watching,https://en.wikipedia.org/wiki/Love_Island_(2015_TV_series)
Friday,Fri,08:00,08:30,4,Youtube,Outloud,Watching,https://www.youtube.com/watch?v=TnGWa-kJaPw
Friday,Fri,08:45,10:00,10,Music,Speaker,Exercise,https://open.spotify.com/playlist/41nlHqhbbhAb3pwT9jLH2s?si=c8219b46392440d1
Friday,Fri,12:00,13:30,6,Podcast,Outloud,Knitting,https://open.spotify.com/show/3ugDIELXIU7erW5Xp49tWp?si=7d978a9384b54530
Friday,Fri,19:30,21:30,4,TV/Film,Outloud,Watching,https://en.wikipedia.org/wiki/Love_Island_(2015_TV_series)
Friday,Fri,22:30,23:00,5,Podcast,Outloud,Sleeping,https://open.spotify.com/show/6MQWPfODsvQUnnSZmijxJm?si=d2858bd3a4124164
Saturday,Sat,10:15,10:30,3,Youtube,Earphones,Watching,https://www.youtube.com/watch?v=xUe5k8QsMLI
Saturday,Sat,15:15,16:30,7,Music,Earphones,Exercise,https://open.spotify.com/playlist/1feOQFW3DI7nTwVNjb4x1M?si=390c49e62a974a6b
Sunday,Sun,08:30,09:00,10,Youtube,Outloud,Watching,https://www.youtube.com/watch?v=yQmo3Z_xSlM
Sunday,Sun,13:30,15:30,2,TV/Film,Outloud,Knitting,https://www.youtube.com/watch?v=y-cqqAJIXhs
Sunday,Sun,16:00,17:15,5,Music,Speaker,Driving,https://open.spotify.com/playlist/7I0I8oe55z1gRC91VVOWBU?si=84092a4b3a64428b
Sunday,Sun,22:45,23:15,5,TV/Film,Outloud,Watching,https://www.youtube.com/watch?v=y-cqqAJIXhs
